sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
76,19,chat,nonIC,low,sg,Tracy chatted with the bodyguards of the celebrity who was, was,-3.2243642807006836,"[('acy', -6.957303524017334), (' ch', -9.634180068969727), ('atted', -6.5461812019348145), (' with', -0.675879180431366), (' the', -2.708397150039673), (' body', -8.609233856201172), ('guards', -4.4287214279174805), (' of', -2.9384241104125977), (' the', -1.265708088874817), (' celebrity', -9.63747787475586), (' who', -3.714667797088623), (' was', -3.2243642807006836)]"
77,20,mock,IC,high,pl,Kevin mocked the fans of the singer who were, were,-2.890331506729126,"[(' mocked', -12.861075401306152), (' the', -1.631003499031067), (' fans', -6.957954406738281), (' of', -3.381119728088379), (' the', -1.4809409379959106), (' singer', -9.05445671081543), (' who', -4.009986877441406), (' were', -2.890331506729126)]"
78,20,count,nonIC,high,pl,Kevin counted the fans of the singer who were, were,-3.068716049194336,"[(' counted', -11.948149681091309), (' the', -2.3921334743499756), (' fans', -8.02898120880127), (' of', -3.6224565505981445), (' the', -1.4271674156188965), (' singer', -10.574128150939941), (' who', -4.780300140380859), (' were', -3.068716049194336)]"
79,20,mock,IC,low,sg,Kevin mocked the fans of the singer who was, was,-3.925915002822876,"[(' mocked', -12.861075401306152), (' the', -1.631003499031067), (' fans', -6.957954406738281), (' of', -3.381119728088379), (' the', -1.4809409379959106), (' singer', -9.05445671081543), (' who', -4.009986877441406), (' was', -3.925915002822876)]"
80,20,count,nonIC,low,sg,Kevin counted the fans of the singer who was, was,-3.279684066772461,"[(' counted', -11.948149681091309), (' the', -2.3921334743499756), (' fans', -8.02898120880127), (' of', -3.6224565505981445), (' the', -1.4271674156188965), (' singer', -10.574128150939941), (' who', -4.780300140380859), (' was', -3.279684066772461)]"
81,21,scold,IC,high,sg,Alice scolded the coordinator of the participants who was, was,-3.313842296600342,"[(' sc', -9.964685440063477), ('olded', -3.1844561100006104), (' the', -2.1782619953155518), (' coordinator', -10.862870216369629), (' of', -1.7084530591964722), (' the', -0.5061244964599609), (' participants', -10.581818580627441), (' who', -3.320890426635742), (' was', -3.313842296600342)]"
82,21,joke,nonIC,high,sg,Alice joked with the coordinator of the participants who was, was,-2.9057931900024414,"[(' joked', -11.275728225708008), (' with', -3.4580841064453125), (' the', -2.5682029724121094), (' coordinator', -9.869746208190918), (' of', -1.5321329832077026), (' the', -0.5992806553840637), (' participants', -10.848344802856445), (' who', -3.934727907180786), (' was', -2.9057931900024414)]"
83,21,scold,IC,low,pl,Alice scolded the coordinator of the participants who were, were,-1.5579066276550293,"[(' sc', -9.964685440063477), ('olded', -3.1844561100006104), (' the', -2.1782619953155518), (' coordinator', -10.862870216369629), (' of', -1.7084530591964722), (' the', -0.5061244964599609), (' participants', -10.581818580627441), (' who', -3.320890426635742), (' were', -1.5579066276550293)]"
84,21,joke,nonIC,low,pl,Alice joked with the coordinator of the participants who were, were,-1.892281413078308,"[(' joked', -11.275728225708008), (' with', -3.4580841064453125), (' the', -2.5682029724121094), (' coordinator', -9.869746208190918), (' of', -1.5321329832077026), (' the', -0.5992806553840637), (' participants', -10.848344802856445), (' who', -3.934727907180786), (' were', -1.892281413078308)]"
85,22,stare,IC,high,sg,Charles stared at the patron of the artists who was, was,-4.075477600097656,"[(' stared', -11.866764068603516), (' at', -0.6088945269584656), (' the', -1.5015112161636353), (' patron', -11.63865852355957), (' of', -4.532186508178711), (' the', -0.8546015620231628), (' artists', -10.839359283447266), (' who', -2.807587146759033), (' was', -4.075477600097656)]"
86,22,study,nonIC,high,sg,Charles studied with the patron of the artists who was, was,-5.279818058013916,"[(' studied', -11.21597671508789), (' with', -3.433581590652466), (' the', -3.2324585914611816), (' patron', -10.680991172790527), (' of', -1.9802584648132324), (' the', -1.0571016073226929), (' artists', -9.823322296142578), (' who', -2.8906595706939697), (' was', -5.279818058013916)]"
87,22,stare,IC,low,pl,Charles stared at the patron of the artists who were, were,-1.7859723567962646,"[(' stared', -11.866764068603516), (' at', -0.6088945269584656), (' the', -1.5015112161636353), (' patron', -11.63865852355957), (' of', -4.532186508178711), (' the', -0.8546015620231628), (' artists', -10.839359283447266), (' who', -2.807587146759033), (' were', -1.7859723567962646)]"
88,22,study,nonIC,low,pl,Charles studied with the patron of the artists who were, were,-2.4058175086975098,"[(' studied', -11.21597671508789), (' with', -3.433581590652466), (' the', -3.2324585914611816), (' patron', -10.680991172790527), (' of', -1.9802584648132324), (' the', -1.0571016073226929), (' artists', -9.823322296142578), (' who', -2.8906595706939697), (' were', -2.4058175086975098)]"
89,23,assist,IC,high,sg,Ben assisted the coach of the players who was, was,-4.802616596221924,"[(' assisted', -11.593088150024414), (' the', -2.466493606567383), (' coach', -6.862378120422363), (' of', -4.905592918395996), (' the', -0.9507809281349182), (' players', -6.606937408447266), (' who', -2.7940728664398193), (' was', -4.802616596221924)]"
90,23,stand,nonIC,high,sg,Ben stood next to the coach of the players who was, was,-4.6813483238220215,"[(' stood', -9.747491836547852), (' next', -3.594773292541504), (' to', -0.008069413714110851), (' the', -2.2413125038146973), (' coach', -6.265623092651367), (' of', -3.9235031604766846), (' the', -0.6837109923362732), (' players', -6.648764610290527), (' who', -2.797578811645508), (' was', -4.6813483238220215)]"
91,23,assist,IC,low,pl,Ben assisted the coach of the players who were, were,-1.57828950881958,"[(' assisted', -11.593088150024414), (' the', -2.466493606567383), (' coach', -6.862378120422363), (' of', -4.905592918395996), (' the', -0.9507809281349182), (' players', -6.606937408447266), (' who', -2.7940728664398193), (' were', -1.57828950881958)]"
92,23,stand,nonIC,low,pl,Ben stood next to the coach of the players who were, were,-1.3939719200134277,"[(' stood', -9.747491836547852), (' next', -3.594773292541504), (' to', -0.008069413714110851), (' the', -2.2413125038146973), (' coach', -6.265623092651367), (' of', -3.9235031604766846), (' the', -0.6837109923362732), (' players', -6.648764610290527), (' who', -2.797578811645508), (' were', -1.3939719200134277)]"
93,24,trust,IC,high,sg,Bob trusted the physician of the patients who was, was,-3.443981409072876,"[(' trusted', -12.20180892944336), (' the', -2.5358545780181885), (' physician', -8.917726516723633), (' of', -5.313745498657227), (' the', -1.4571528434753418), (' patients', -6.453197002410889), (' who', -2.249129056930542), (' was', -3.443981409072876)]"
94,24,live,nonIC,high,sg,Bob lived next to the physician of the patients who was, was,-4.179230690002441,"[(' lived', -10.079383850097656), (' next', -4.519426345825195), (' to', -1.9416786432266235), (' the', -2.1282670497894287), (' physician', -9.12093448638916), (' of', -5.114847183227539), (' the', -1.2189793586730957), (' patients', -7.195391654968262), (' who', -2.4504685401916504), (' was', -4.179230690002441)]"
95,24,trust,IC,low,pl,Bob trusted the physician of the patients who were, were,-2.0376627445220947,"[(' trusted', -12.20180892944336), (' the', -2.5358545780181885), (' physician', -8.917726516723633), (' of', -5.313745498657227), (' the', -1.4571528434753418), (' patients', -6.453197002410889), (' who', -2.249129056930542), (' were', -2.0376627445220947)]"
96,24,live,nonIC,low,pl,Bob lived next to the physician of the patients who were, were,-1.5663843154907227,"[(' lived', -10.079383850097656), (' next', -4.519426345825195), (' to', -1.9416786432266235), (' the', -2.1282670497894287), (' physician', -9.12093448638916), (' of', -5.114847183227539), (' the', -1.2189793586730957), (' patients', -7.195391654968262), (' who', -2.4504685401916504), (' were', -1.5663843154907227)]"
97,25,correct,IC,high,sg,Rachel corrected the agent of the celebrities who was, was,-3.989035129547119,"[(' corrected', -12.12562370300293), (' the', -2.4898486137390137), (' agent', -8.217900276184082), (' of', -4.104537010192871), (' the', -0.8910291790962219), (' celebrities', -12.68526840209961), (' who', -1.8823262453079224), (' was', -3.989035129547119)]"
98,25,run,nonIC,high,sg,Rachel ran into the agent of the celebrities who was, was,-3.5488340854644775,"[(' ran', -9.202367782592773), (' into', -2.557621717453003), (' the', -1.9202828407287598), (' agent', -8.991846084594727), (' of', -3.022892951965332), (' the', -0.9642221331596375), (' celebrities', -13.14840316772461), (' who', -1.877760648727417), (' was', -3.5488340854644775)]"
99,25,correct,IC,low,pl,Rachel corrected the agent of the celebrities who were, were,-2.210287570953369,"[(' corrected', -12.12562370300293), (' the', -2.4898486137390137), (' agent', -8.217900276184082), (' of', -4.104537010192871), (' the', -0.8910291790962219), (' celebrities', -12.68526840209961), (' who', -1.8823262453079224), (' were', -2.210287570953369)]"
100,25,run,nonIC,low,pl,Rachel ran into the agent of the celebrities who were, were,-1.7975218296051025,"[(' ran', -9.202367782592773), (' into', -2.557621717453003), (' the', -1.9202828407287598), (' agent', -8.991846084594727), (' of', -3.022892951965332), (' the', -0.9642221331596375), (' celebrities', -13.14840316772461), (' who', -1.877760648727417), (' were', -1.7975218296051025)]"
101,26,thank,IC,high,sg,James thanked the analyst of the vendors who was, was,-3.7857964038848877,"[(' thanked', -11.928207397460938), (' the', -1.7374612092971802), (' analyst', -10.306927680969238), (' of', -5.291582107543945), (' the', -0.9302098751068115), (' vendors', -11.755463600158691), (' who', -2.292994976043701), (' was', -3.7857964038848877)]"
102,26,chat,nonIC,high,sg,James chatted with the analyst of the vendors who was, was,-3.062002658843994,"[(' ch', -9.270950317382812), ('atted', -1.4364465475082397), (' with', -0.6137368083000183), (' the', -2.7538652420043945), (' analyst', -7.592464923858643), (' of', -5.156157970428467), (' the', -1.4096425771713257), (' vendors', -11.575862884521484), (' who', -2.4671316146850586), (' was', -3.062002658843994)]"
103,26,thank,IC,low,pl,James thanked the analyst of the vendors who were, were,-3.217292070388794,"[(' thanked', -11.928207397460938), (' the', -1.7374612092971802), (' analyst', -10.306927680969238), (' of', -5.291582107543945), (' the', -0.9302098751068115), (' vendors', -11.755463600158691), (' who', -2.292994976043701), (' were', -3.217292070388794)]"
104,26,chat,nonIC,low,pl,James chatted with the analyst of the vendors who were, were,-3.546186923980713,"[(' ch', -9.270950317382812), ('atted', -1.4364465475082397), (' with', -0.6137368083000183), (' the', -2.7538652420043945), (' analyst', -7.592464923858643), (' of', -5.156157970428467), (' the', -1.4096425771713257), (' vendors', -11.575862884521484), (' who', -2.4671316146850586), (' were', -3.546186923980713)]"
105,27,envy,IC,high,sg,Zoey envies the representative of the voters who is, is,-4.836590766906738,"[('oe', -8.600797653198242), ('y', -3.2372565269470215), (' env', -12.4967041015625), ('ies', -2.266749143600464), (' the', -1.4420346021652222), (' representative', -10.684213638305664), (' of', -1.4739435911178589), (' the', -1.064487338066101), (' voters', -8.79598617553711), (' who', -2.102139472961426), (' is', -4.836590766906738)]"
106,27,resemble,nonIC,high,sg,Zoey resembles the representative of the voters who is, is,-5.831550598144531,"[('oe', -8.600797653198242), ('y', -3.2372565269470215), (' resembles', -12.691352844238281), (' the', -1.7346705198287964), (' representative', -9.771154403686523), (' of', -0.5454645752906799), (' the', -1.2154160737991333), (' voters', -10.016939163208008), (' who', -2.2499947547912598), (' is', -5.831550598144531)]"
107,27,envy,IC,low,pl,Zoey envies the representative of the voters who are, are,-2.6689422130584717,"[('oe', -8.600797653198242), ('y', -3.2372565269470215), (' env', -12.4967041015625), ('ies', -2.266749143600464), (' the', -1.4420346021652222), (' representative', -10.684213638305664), (' of', -1.4739435911178589), (' the', -1.064487338066101), (' voters', -8.79598617553711), (' who', -2.102139472961426), (' are', -2.6689422130584717)]"
108,27,resemble,nonIC,low,pl,Zoey resembles the representative of the voters who are, are,-2.9261248111724854,"[('oe', -8.600797653198242), ('y', -3.2372565269470215), (' resembles', -12.691352844238281), (' the', -1.7346705198287964), (' representative', -9.771154403686523), (' of', -0.5454645752906799), (' the', -1.2154160737991333), (' voters', -10.016939163208008), (' who', -2.2499947547912598), (' are', -2.9261248111724854)]"
109,28,value,IC,high,sg,Stephen values the accountant of the investors who is, is,-4.757434844970703,"[(' values', -10.984452247619629), (' the', -1.5612109899520874), (' accountant', -12.852917671203613), (' of', -5.099010467529297), (' the', -1.536998987197876), (' investors', -10.303356170654297), (' who', -2.2490227222442627), (' is', -4.757434844970703)]"
110,28,meet,nonIC,high,sg,Stephen met the accountant of the investors who is, is,-5.848354816436768,"[(' met', -9.58067798614502), (' the', -2.7336487770080566), (' accountant', -10.413850784301758), (' of', -4.811572074890137), (' the', -1.2607333660125732), (' investors', -9.063340187072754), (' who', -2.173968553543091), (' is', -5.848354816436768)]"
111,28,value,IC,low,pl,Stephen values the accountant of the investors who are, are,-2.6789133548736572,"[(' values', -10.984452247619629), (' the', -1.5612109899520874), (' accountant', -12.852917671203613), (' of', -5.099010467529297), (' the', -1.536998987197876), (' investors', -10.303356170654297), (' who', -2.2490227222442627), (' are', -2.6789133548736572)]"
112,28,meet,nonIC,low,pl,Stephen met the accountant of the investors who are, are,-4.181271076202393,"[(' met', -9.58067798614502), (' the', -2.7336487770080566), (' accountant', -10.413850784301758), (' of', -4.811572074890137), (' the', -1.2607333660125732), (' investors', -9.063340187072754), (' who', -2.173968553543091), (' are', -4.181271076202393)]"
113,29,fear,IC,high,sg,Liz fears the lawyer of the actors who is, is,-5.475769519805908,"[('iz', -8.171367645263672), (' fears', -12.092403411865234), (' the', -1.7444318532943726), (' lawyer', -10.6597900390625), (' of', -4.753486156463623), (' the', -1.3099358081817627), (' actors', -10.46357536315918), (' who', -2.3431146144866943), (' is', -5.475769519805908)]"
114,29,recognize,nonIC,high,sg,Liz recognizes the lawyer of the actors who is, is,-4.001839637756348,"[('iz', -8.171367645263672), (' recognizes', -12.978031158447266), (' the', -1.6498311758041382), (' lawyer', -10.528606414794922), (' of', -4.728185653686523), (' the', -0.9998053908348083), (' actors', -9.942753791809082), (' who', -1.9378641843795776), (' is', -4.001839637756348)]"
115,29,fear,IC,low,pl,Liz fears the lawyer of the actors who are, are,-2.928070545196533,"[('iz', -8.171367645263672), (' fears', -12.092403411865234), (' the', -1.7444318532943726), (' lawyer', -10.6597900390625), (' of', -4.753486156463623), (' the', -1.3099358081817627), (' actors', -10.46357536315918), (' who', -2.3431146144866943), (' are', -2.928070545196533)]"
116,29,recognize,nonIC,low,pl,Liz recognizes the lawyer of the actors who are, are,-2.64083194732666,"[('iz', -8.171367645263672), (' recognizes', -12.978031158447266), (' the', -1.6498311758041382), (' lawyer', -10.528606414794922), (' of', -4.728185653686523), (' the', -0.9998053908348083), (' actors', -9.942753791809082), (' who', -1.9378641843795776), (' are', -2.64083194732666)]"
117,30,notice,IC,high,sg,Jan noticed the son of the scientists who was, was,-3.5530622005462646,"[(' noticed', -11.734992980957031), (' the', -2.4638113975524902), (' son', -9.096589088439941), (' of', -1.3547245264053345), (' the', -1.8049176931381226), (' scientists', -10.882024765014648), (' who', -2.524843454360962), (' was', -3.5530622005462646)]"
118,30,jog,nonIC,high,sg,Jan jogged with the son of the scientists who was, was,-4.496547698974609,"[(' j', -9.293449401855469), ('ogged', -8.911514282226562), (' with', -5.025869369506836), (' the', -2.4591898918151855), (' son', -7.563467979431152), (' of', -0.8358573913574219), (' the', -2.2971677780151367), (' scientists', -11.620989799499512), (' who', -2.0239555835723877), (' was', -4.496547698974609)]"
119,30,notice,IC,low,pl,Jan noticed the son of the scientists who were, were,-1.9919507503509521,"[(' noticed', -11.734992980957031), (' the', -2.4638113975524902), (' son', -9.096589088439941), (' of', -1.3547245264053345), (' the', -1.8049176931381226), (' scientists', -10.882024765014648), (' who', -2.524843454360962), (' were', -1.9919507503509521)]"
120,30,jog,nonIC,low,pl,Jan jogged with the son of the scientists who were, were,-2.2011070251464844,"[(' j', -9.293449401855469), ('ogged', -8.911514282226562), (' with', -5.025869369506836), (' the', -2.4591898918151855), (' son', -7.563467979431152), (' of', -0.8358573913574219), (' the', -2.2971677780151367), (' scientists', -11.620989799499512), (' who', -2.0239555835723877), (' were', -2.2011070251464844)]"
121,31,praise,IC,high,pl,Luke praised the tenants of the landlord who were, were,-2.4933156967163086,"[(' praised', -11.549402236938477), (' the', -1.1592813730239868), (' tenants', -10.14190673828125), (' of', -2.1929612159729004), (' the', -1.078288197517395), (' landlord', -7.066555976867676), (' who', -3.2125120162963867), (' were', -2.4933156967163086)]"
122,31,carpool,nonIC,high,pl,Luke carpooled with the tenants of the landlord who were, were,-2.06825590133667,"[(' car', -9.310983657836914), ('pool', -5.160962104797363), ('ed', -1.3269658088684082), (' with', -1.7148982286453247), (' the', -2.8752331733703613), (' tenants', -8.453511238098145), (' of', -2.504425287246704), (' the', -1.3832968473434448), (' landlord', -6.1665358543396), (' who', -4.257256507873535), (' were', -2.06825590133667)]"
123,31,praise,IC,low,sg,Luke praised the tenants of the landlord who was, was,-4.987898826599121,"[(' praised', -11.549402236938477), (' the', -1.1592813730239868), (' tenants', -10.14190673828125), (' of', -2.1929612159729004), (' the', -1.078288197517395), (' landlord', -7.066555976867676), (' who', -3.2125120162963867), (' was', -4.987898826599121)]"
124,31,carpool,nonIC,low,sg,Luke carpooled with the tenants of the landlord who was, was,-3.255481243133545,"[(' car', -9.310983657836914), ('pool', -5.160962104797363), ('ed', -1.3269658088684082), (' with', -1.7148982286453247), (' the', -2.8752331733703613), (' tenants', -8.453511238098145), (' of', -2.504425287246704), (' the', -1.3832968473434448), (' landlord', -6.1665358543396), (' who', -4.257256507873535), (' was', -3.255481243133545)]"
125,32,hate,IC,high,pl,Karen hates the followers of the leader who are, are,-3.5333054065704346,"[('aren', -9.217145919799805), (' hates', -12.153312683105469), (' the', -2.187817335128784), (' followers', -10.656564712524414), (' of', -0.9867477416992188), (' the', -1.5431686639785767), (' leader', -6.270246505737305), (' who', -3.1744766235351562), (' are', -3.5333054065704346)]"
126,32,know,nonIC,high,pl,Karen knows the follwers of the leader who are, are,-4.070686340332031,"[('aren', -9.217145919799805), (' knows', -9.05718994140625), (' the', -2.435415029525757), (' foll', -11.951910018920898), ('w', -9.60427474975586), ('ers', -5.124621391296387), (' of', -1.9289170503616333), (' the', -1.3452789783477783), (' leader', -9.294918060302734), (' who', -4.582862377166748), (' are', -4.070686340332031)]"
127,32,hate,IC,low,sg,Karen hates the followers of the leader who is, is,-3.183314561843872,"[('aren', -9.217145919799805), (' hates', -12.153312683105469), (' the', -2.187817335128784), (' followers', -10.656564712524414), (' of', -0.9867477416992188), (' the', -1.5431686639785767), (' leader', -6.270246505737305), (' who', -3.1744766235351562), (' is', -3.183314561843872)]"
128,32,know,nonIC,low,sg,Karen knows the follwers of the leader who is, is,-2.4968717098236084,"[('aren', -9.217145919799805), (' knows', -9.05718994140625), (' the', -2.435415029525757), (' foll', -11.951910018920898), ('w', -9.60427474975586), ('ers', -5.124621391296387), (' of', -1.9289170503616333), (' the', -1.3452789783477783), (' leader', -9.294918060302734), (' who', -4.582862377166748), (' is', -2.4968717098236084)]"
129,33,blame,IC,high,pl,Jack blamed the trainees of the craftsman who were, were,-3.88274884223938,"[(' blamed', -11.438056945800781), (' the', -1.1911983489990234), (' train', -8.537912368774414), ('ees', -7.112721920013428), (' of', -5.050655841827393), (' the', -0.7257885932922363), (' crafts', -11.448600769042969), ('man', -2.1177096366882324), (' who', -4.165877819061279), (' were', -3.88274884223938)]"
130,33,gossip,nonIC,high,pl,Jack gossiped with the trainees of the craftsman who were, were,-4.9203691482543945,"[(' gossip', -13.799156188964844), ('ed', -2.0156872272491455), (' with', -3.598869800567627), (' the', -2.3899309635162354), (' train', -8.802162170410156), ('ees', -3.1569342613220215), (' of', -4.150655746459961), (' the', -0.8494227528572083), (' crafts', -9.907270431518555), ('man', -1.7131755352020264), (' who', -4.7445878982543945), (' were', -4.9203691482543945)]"
131,33,blame,IC,low,sg,Jack blamed the trainees of the craftsman who was, was,-3.522923707962036,"[(' blamed', -11.438056945800781), (' the', -1.1911983489990234), (' train', -8.537912368774414), ('ees', -7.112721920013428), (' of', -5.050655841827393), (' the', -0.7257885932922363), (' crafts', -11.448600769042969), ('man', -2.1177096366882324), (' who', -4.165877819061279), (' was', -3.522923707962036)]"
132,33,gossip,nonIC,low,sg,Jack gossiped with the trainees of the craftsman who was, was,-2.2448244094848633,"[(' gossip', -13.799156188964844), ('ed', -2.0156872272491455), (' with', -3.598869800567627), (' the', -2.3899309635162354), (' train', -8.802162170410156), ('ees', -3.1569342613220215), (' of', -4.150655746459961), (' the', -0.8494227528572083), (' crafts', -9.907270431518555), ('man', -1.7131755352020264), (' who', -4.7445878982543945), (' was', -2.2448244094848633)]"
133,34,help,IC,high,pl,Sophia helped the students of the professor who were, were,-4.61345100402832,"[('oph', -9.721209526062012), ('ia', -1.3065418004989624), (' helped', -8.875061988830566), (' the', -3.027733564376831), (' students', -4.9575371742248535), (' of', -4.312141418457031), (' the', -1.4877243041992188), (' professor', -8.689851760864258), (' who', -3.0510926246643066), (' were', -4.61345100402832)]"
134,34,wait,nonIC,high,pl,Sophia waited with the students of the professor who were, were,-5.002080917358398,"[('oph', -9.721209526062012), ('ia', -1.3065418004989624), (' waited', -10.325043678283691), (' with', -3.932191848754883), (' the', -3.1494665145874023), (' students', -7.955173015594482), (' of', -4.510557174682617), (' the', -1.2255467176437378), (' professor', -8.204530715942383), (' who', -3.603498697280884), (' were', -5.002080917358398)]"
135,34,help,IC,low,sg,Sophia helped the students of the professor who was, was,-1.8336505889892578,"[('oph', -9.721209526062012), ('ia', -1.3065418004989624), (' helped', -8.875061988830566), (' the', -3.027733564376831), (' students', -4.9575371742248535), (' of', -4.312141418457031), (' the', -1.4877243041992188), (' professor', -8.689851760864258), (' who', -3.0510926246643066), (' was', -1.8336505889892578)]"
136,34,wait,nonIC,low,sg,Sophia waited with the students of the professor who was, was,-1.6964473724365234,"[('oph', -9.721209526062012), ('ia', -1.3065418004989624), (' waited', -10.325043678283691), (' with', -3.932191848754883), (' the', -3.1494665145874023), (' students', -7.955173015594482), (' of', -4.510557174682617), (' the', -1.2255467176437378), (' professor', -8.204530715942383), (' who', -3.603498697280884), (' was', -1.6964473724365234)]"
137,35,reproach,IC,high,pl,Noah reproached the assistants of the technician who were, were,-3.328033685684204,"[('ah', -8.158491134643555), (' repro', -14.440511703491211), ('ached', -0.5438622832298279), (' the', -1.893298625946045), (' assistants', -11.171791076660156), (' of', -2.1764187812805176), (' the', -1.1338187456130981), (' technician', -12.184870719909668), (' who', -2.182945489883423), (' were', -3.328033685684204)]"
138,35,visit,nonIC,high,pl,Noah visited the assistants of the technician who were, were,-4.693608283996582,"[('ah', -8.158491134643555), (' visited', -9.251119613647461), (' the', -1.319740891456604), (' assistants', -13.575119972229004), (' of', -2.239877223968506), (' the', -1.33051598072052), (' technician', -11.371065139770508), (' who', -1.801898717880249), (' were', -4.693608283996582)]"
139,35,reproach,IC,low,sg,Noah reproached the assistants of the technician who was, was,-2.494049310684204,"[('ah', -8.158491134643555), (' repro', -14.440511703491211), ('ached', -0.5438622832298279), (' the', -1.893298625946045), (' assistants', -11.171791076660156), (' of', -2.1764187812805176), (' the', -1.1338187456130981), (' technician', -12.184870719909668), (' who', -2.182945489883423), (' was', -2.494049310684204)]"
140,35,visit,nonIC,low,sg,Noah visited the assistants of the technician who was, was,-2.1974916458129883,"[('ah', -8.158491134643555), (' visited', -9.251119613647461), (' the', -1.319740891456604), (' assistants', -13.575119972229004), (' of', -2.239877223968506), (' the', -1.33051598072052), (' technician', -11.371065139770508), (' who', -1.801898717880249), (' was', -2.1974916458129883)]"
141,36,pacify,IC,high,pl,Charlotte pacified the patients of the therapist who were, were,-4.678418159484863,"[('otte', -6.406257152557373), (' pac', -12.785204887390137), ('ified', -1.3091152906417847), (' the', -1.787261724472046), (' patients', -7.4993791580200195), (' of', -5.149877548217773), (' the', -1.4809656143188477), (' therapist', -9.359148025512695), (' who', -2.0878262519836426), (' were', -4.678418159484863)]"
142,36,greet,nonIC,high,pl,Charlotte greeted the patients of the therapist who were, were,-5.568995475769043,"[('otte', -6.406257152557373), (' greeted', -11.702296257019043), (' the', -1.7683972120285034), (' patients', -9.200155258178711), (' of', -5.459101676940918), (' the', -1.1978965997695923), (' therapist', -9.963127136230469), (' who', -2.581160068511963), (' were', -5.568995475769043)]"
143,36,pacify,IC,low,sg,Charlotte pacified the patients of the therapist who was, was,-2.1535158157348633,"[('otte', -6.406257152557373), (' pac', -12.785204887390137), ('ified', -1.3091152906417847), (' the', -1.787261724472046), (' patients', -7.4993791580200195), (' of', -5.149877548217773), (' the', -1.4809656143188477), (' therapist', -9.359148025512695), (' who', -2.0878262519836426), (' was', -2.1535158157348633)]"
144,36,greet,nonIC,low,sg,Charlotte greeted the patients of the therapist who was, was,-2.444308042526245,"[('otte', -6.406257152557373), (' greeted', -11.702296257019043), (' the', -1.7683972120285034), (' patients', -9.200155258178711), (' of', -5.459101676940918), (' the', -1.1978965997695923), (' therapist', -9.963127136230469), (' who', -2.581160068511963), (' was', -2.444308042526245)]"
145,37,detest,IC,high,pl,Evelyn detests the supporters of the candidate who have, have,-5.996222496032715,"[('ve', -8.337542533874512), ('lyn', -3.216362237930298), (' det', -13.117044448852539), ('ests', -2.1632399559020996), (' the', -1.4632734060287476), (' supporters', -10.512897491455078), (' of', -0.803837239742279), (' the', -1.8353902101516724), (' candidate', -6.244546890258789), (' who', -1.2160242795944214), (' have', -5.996222496032715)]"
146,37,work,nonIC,high,pl,Evelyn works with the supporters of the candidate who have, have,-5.96730375289917,"[('ve', -8.337542533874512), ('lyn', -3.216362237930298), (' works', -9.808656692504883), (' with', -1.9067602157592773), (' the', -2.0342392921447754), (' supporters', -10.264005661010742), (' of', -0.8389003276824951), (' the', -1.5264567136764526), (' candidate', -6.976961612701416), (' who', -1.921082854270935), (' have', -5.96730375289917)]"
147,37,detest,IC,low,sg,Evelyn detests the supporters of the candidate who has, has,-2.5109164714813232,"[('ve', -8.337542533874512), ('lyn', -3.216362237930298), (' det', -13.117044448852539), ('ests', -2.1632399559020996), (' the', -1.4632734060287476), (' supporters', -10.512897491455078), (' of', -0.803837239742279), (' the', -1.8353902101516724), (' candidate', -6.244546890258789), (' who', -1.2160242795944214), (' has', -2.5109164714813232)]"
148,37,work,nonIC,low,sg,Evelyn works with the supporters of the candidate who has, has,-2.5559191703796387,"[('ve', -8.337542533874512), ('lyn', -3.216362237930298), (' works', -9.808656692504883), (' with', -1.9067602157592773), (' the', -2.0342392921447754), (' supporters', -10.264005661010742), (' of', -0.8389003276824951), (' the', -1.5264567136764526), (' candidate', -6.976961612701416), (' who', -1.921082854270935), (' has', -2.5559191703796387)]"
149,38,comfort,IC,high,pl,Ken comforted the children of the actress who were, were,-6.067749977111816,"[(' comfort', -11.987083435058594), ('ed', -0.28431832790374756), (' the', -2.1324610710144043), (' children', -4.248566627502441), (' of', -3.3922324180603027), (' the', -1.468639850616455), (' actress', -10.679204940795898), (' who', -2.5488808155059814), (' were', -6.067749977111816)]"
150,38,babysit,nonIC,high,pl,Ken babysat the children of the actress who were, were,-6.3353753089904785,"[(' babys', -13.903682708740234), ('at', -1.6020116806030273), (' the', -2.5352182388305664), (' children', -2.945809841156006), (' of', -2.973487615585327), (' the', -1.9766175746917725), (' actress', -9.333919525146484), (' who', -2.640244483947754), (' were', -6.3353753089904785)]"
151,38,comfort,IC,low,sg,Ken comforted the children of the actress who was, was,-2.010606050491333,"[(' comfort', -11.987083435058594), ('ed', -0.28431832790374756), (' the', -2.1324610710144043), (' children', -4.248566627502441), (' of', -3.3922324180603027), (' the', -1.468639850616455), (' actress', -10.679204940795898), (' who', -2.5488808155059814), (' was', -2.010606050491333)]"
152,38,babysit,nonIC,low,sg,Ken babysat the children of the actress who was, was,-2.3698983192443848,"[(' babys', -13.903682708740234), ('at', -1.6020116806030273), (' the', -2.5352182388305664), (' children', -2.945809841156006), (' of', -2.973487615585327), (' the', -1.9766175746917725), (' actress', -9.333919525146484), (' who', -2.640244483947754), (' was', -2.3698983192443848)]"
