sent_id,item_id,verb,sentence_type,verb_type,main_clause,target,question,prompt
76,38,babysit,nonIC,nonIC_High,Ken babysat the children,Ken babysat the children who were anxious about the test result.,"Does this sentence explain why Ken babysat the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ken babysat the children who were anxious about the test result. Question: Does this sentence explain why Ken babysat the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
77,39,congratulate,IC,IC_High,Henry congratulated the architects,Henry congratulated the architects who were winning the best design award.,"Does this sentence explain why Henry congratulated the architects? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Henry congratulated the architects who were winning the best design award. Question: Does this sentence explain why Henry congratulated the architects? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
78,39,count,nonIC,nonIC_High,Henry counted the architects,Henry counted the architects who were winning the best design award.,"Does this sentence explain why Henry counted the architects? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Henry counted the architects who were winning the best design award. Question: Does this sentence explain why Henry counted the architects? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
79,40,mock,IC,IC_High,Olivia mocked the apprentices,Olivia mocked the apprentices who were reckless in making decisions.,"Does this sentence explain why Olivia mocked the apprentices? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Olivia mocked the apprentices who were reckless in making decisions. Question: Does this sentence explain why Olivia mocked the apprentices? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
80,40,talk,nonIC,nonIC_High,Olivia talked to the apprentices,Olivia talked to the apprentices who were reckless in making decisions.,"Does this sentence explain why Olivia talked to the apprentices? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Olivia talked to the apprentices who were reckless in making decisions. Question: Does this sentence explain why Olivia talked to the apprentices? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
81,41,scold,IC,IC_High,Ashley scolded the children,Ashley scolded the children who were nonchalant about other people's needs.,"Does this sentence explain why Ashley scolded the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ashley scolded the children who were nonchalant about other people's needs. Question: Does this sentence explain why Ashley scolded the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
82,41,babysit,nonIC,nonIC_High,Ashley studied with the children,Ashley studied with the children who were nonchalant about other people's needs.,"Does this sentence explain why Ashley studied with the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ashley studied with the children who were nonchalant about other people's needs. Question: Does this sentence explain why Ashley studied with the children? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
83,42,stare,IC,IC_High,Daniel stared at the clients,Daniel stared at the clients who were always unsatisfied with the product.,"Does this sentence explain why Daniel stared at the clients? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Daniel stared at the clients who were always unsatisfied with the product. Question: Does this sentence explain why Daniel stared at the clients? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
84,42,count,nonIC,nonIC_High,Daniel counted the clients,Daniel counted the clients who were always unsatisfied with the product.,"Does this sentence explain why Daniel counted the clients? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Daniel counted the clients who were always unsatisfied with the product. Question: Does this sentence explain why Daniel counted the clients? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
85,43,assist,IC,IC_High,Megan assisted the photographers,Megan assisted the photographers who were busy getting ready.,"Does this sentence explain why Megan assisted the photographers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Megan assisted the photographers who were busy getting ready. Question: Does this sentence explain why Megan assisted the photographers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
86,43,joke,nonIC,nonIC_High,Megan joked with the photographers,Megan joked with the photographers who were busy getting ready.,"Does this sentence explain why Megan joked with the photographers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Megan joked with the photographers who were busy getting ready. Question: Does this sentence explain why Megan joked with the photographers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
87,44,trust,IC,IC_High,Lucas trusted the instructors,Lucas trusted the professors who were knowledgeable.,"Does this sentence explain why Lucas trusted the instructors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Lucas trusted the professors who were knowledgeable. Question: Does this sentence explain why Lucas trusted the instructors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
88,44,wait,nonIC,nonIC_High,Lucas waited with the instructors,Lucas waited with the professors who were knowledgeable.,"Does this sentence explain why Lucas waited with the instructors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Lucas waited with the professors who were knowledgeable. Question: Does this sentence explain why Lucas waited with the instructors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
89,45,correct,IC,IC_High,Michelle corrected the advisers,Michelle corrected the advisers who were constantly mispronouncing her name.,"Does this sentence explain why Michelle corrected the advisers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Michelle corrected the advisers who were constantly mispronouncing her name. Question: Does this sentence explain why Michelle corrected the advisers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
90,45,stand,nonIC,nonIC_High,Michelle stood near the adivsers,Michelle stood near the advisers who were constantly mispronouncing her name.,"Does this sentence explain why Michelle stood near the adivsers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Michelle stood near the advisers who were constantly mispronouncing her name. Question: Does this sentence explain why Michelle stood near the adivsers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
91,46,comfort,IC,IC_High,Oliver comforted the advisees,Oliver comforted the advisees who were worried about starting a new project.,"Does this sentence explain why Oliver comforted the advisees? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Oliver comforted the advisees who were worried about starting a new project. Question: Does this sentence explain why Oliver comforted the advisees? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
92,46,gossip,nonIC,nonIC_High,Oliver gossiped with the advisees,Oliver gossiped with the advisees who were worried about starting a new project.,"Does this sentence explain why Oliver gossiped with the advisees? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Oliver gossiped with the advisees who were worried about starting a new project. Question: Does this sentence explain why Oliver gossiped with the advisees? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
93,47,envy,IC,IC_High,Rebecca envies the contractors,Rebecca envies the researchers who have made a lot of money.,"Does this sentence explain why Rebecca envies the contractors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Rebecca envies the researchers who have made a lot of money. Question: Does this sentence explain why Rebecca envies the contractors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
94,47,recognize,nonIC,nonIC_High,Rebecca recognizes the contractors,Rebecca recognizes the researchers who have made a lot of money.,"Does this sentence explain why Rebecca recognizes the contractors? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Rebecca recognizes the researchers who have made a lot of money. Question: Does this sentence explain why Rebecca recognizes the contractors? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
95,48,value,IC,IC_High,Sebastian values the caretakers,Sebastian values the caretakers who are taking care of everyone.,"Does this sentence explain why Sebastian values the caretakers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sebastian values the caretakers who are taking care of everyone. Question: Does this sentence explain why Sebastian values the caretakers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
96,48,jog,nonIC,nonIC_High,Sebastian jogs with the caretakers,Sebastian jogs with the caretakers who are taking care of everyone.,"Does this sentence explain why Sebastian jogs with the caretakers? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Sebastian jogs with the caretakers who are taking care of everyone. Question: Does this sentence explain why Sebastian jogs with the caretakers? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
97,49,fear,IC,IC_High,Emma fears the colleagues,Emma fears the colleagues who have unpredictable behavior.,"Does this sentence explain why Emma fears the colleagues? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Emma fears the colleagues who have unpredictable behavior. Question: Does this sentence explain why Emma fears the colleagues? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
98,49,know,nonIC,nonIC_High,Emma knows the colleagues,Emma knows the colleagues who have unpredictable behavior.,"Does this sentence explain why Emma knows the colleagues? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Emma knows the colleagues who have unpredictable behavior. Question: Does this sentence explain why Emma knows the colleagues? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
99,50,notice,IC,IC_High,Ryan noticed the consultants,Ryan noticed the consultants who were abnormally busy at work.,"Does this sentence explain why Ryan noticed the consultants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ryan noticed the consultants who were abnormally busy at work. Question: Does this sentence explain why Ryan noticed the consultants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
100,50,meet,nonIC,nonIC_High,Ryan met the consultants,Ryan met the consultants who were abnormally busy at work.,"Does this sentence explain why Ryan met the consultants? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ryan met the consultants who were abnormally busy at work. Question: Does this sentence explain why Ryan met the consultants? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
101,51,praise,IC,IC_High,Amy praised the guardian,Amy praised the guardian who was diligent in keeping everything on track.,"Does this sentence explain why Amy praised the guardian? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Amy praised the guardian who was diligent in keeping everything on track. Question: Does this sentence explain why Amy praised the guardian? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
102,51,talk,nonIC,nonIC_High,Amy talked to the guardian,Amy talked to the guardian who was diligent in keeping everything on track.,"Does this sentence explain why Amy talked to the guardian? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Amy talked to the guardian who was diligent in keeping everything on track. Question: Does this sentence explain why Amy talked to the guardian? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
103,52,hate,IC,IC_High,Jonathon hates the supervisor,Jonathon hates the supervisor who is always shouting at others.,"Does this sentence explain why Jonathon hates the supervisor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jonathon hates the supervisor who is always shouting at others. Question: Does this sentence explain why Jonathon hates the supervisor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
104,52,live,nonIC,nonIC_High,Jonathon lives next to the supervisor,Jonathon lives next to the supervisor who is always shouting at others.,"Does this sentence explain why Jonathon lives next to the supervisor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jonathon lives next to the supervisor who is always shouting at others. Question: Does this sentence explain why Jonathon lives next to the supervisor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
105,53,blame,IC,IC_High,Natalie blamed the principal,Natalie blamed the principal who was late to the meeting.,"Does this sentence explain why Natalie blamed the principal? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Natalie blamed the principal who was late to the meeting. Question: Does this sentence explain why Natalie blamed the principal? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
106,53,resemble,nonIC,nonIC_High,Natalie resembled the principal,Natalie resembled the principal who was late to the meeting.,"Does this sentence explain why Natalie resembled the principal? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Natalie resembled the principal who was late to the meeting. Question: Does this sentence explain why Natalie resembled the principal? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
107,54,help,IC,IC_High,Alex helped the counselor,Alex helped the counselor who was looking for information.,"Does this sentence explain why Alex helped the counselor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Alex helped the counselor who was looking for information. Question: Does this sentence explain why Alex helped the counselor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
108,54,greet,nonIC,nonIC_High,Alex greeted the counselor,Alex greeted the counselor who was looking for information.,"Does this sentence explain why Alex greeted the counselor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Alex greeted the counselor who was looking for information. Question: Does this sentence explain why Alex greeted the counselor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
109,55,reproach,IC,IC_High,Tiffany reproached the intern,Tiffany reproached the intern who was negligent and sluggish.,"Does this sentence explain why Tiffany reproached the intern? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tiffany reproached the intern who was negligent and sluggish. Question: Does this sentence explain why Tiffany reproached the intern? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
110,55,study,nonIC,nonIC_High,Tiffany studied with the intern,Tiffany studied with the intern who was negligent and sluggish.,"Does this sentence explain why Tiffany studied with the intern? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Tiffany studied with the intern who was negligent and sluggish. Question: Does this sentence explain why Tiffany studied with the intern? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
111,56,pacify,IC,IC_High,Samuel pacified the neighbor,Samuel pacified the neighbor who was irritated by the noise.,"Does this sentence explain why Samuel pacified the neighbor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Samuel pacified the neighbor who was irritated by the noise. Question: Does this sentence explain why Samuel pacified the neighbor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
112,56,chat,nonIC,nonIC_High,Samuel chatted with the neighbor,Samuel chatted with the neighbor who was irritated by the noise.,"Does this sentence explain why Samuel chatted with the neighbor? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Samuel chatted with the neighbor who was irritated by the noise. Question: Does this sentence explain why Samuel chatted with the neighbor? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
113,57,detest,IC,IC_High,Julie detests the manager,Julie detests the manager who has been demanding and unfair.,"Does this sentence explain why Julie detests the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Julie detests the manager who has been demanding and unfair. Question: Does this sentence explain why Julie detests the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
114,57,visit,nonIC,nonIC_High,Julie visits the manager,Julie visits the manager who has been demanding and unfair.,"Does this sentence explain why Julie visits the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Julie visits the manager who has been demanding and unfair. Question: Does this sentence explain why Julie visits the manager? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
115,58,thank,IC,IC_High,Ethan thanked the host,Ethan thanked the host who was organizing the event.,"Does this sentence explain why Ethan thanked the host? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ethan thanked the host who was organizing the event. Question: Does this sentence explain why Ethan thanked the host? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
116,58,ran,nonIC,nonIC_High,Ethan ran into the host,Ethan ran into the host who was organizing the event.,"Does this sentence explain why Ethan ran into the host? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Ethan ran into the host who was organizing the event. Question: Does this sentence explain why Ethan ran into the host? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
117,59,congratulate,IC,IC_High,Grace congratulates the director,Grace congratulates the conductor who has recently won the award.,"Does this sentence explain why Grace congratulates the director? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Grace congratulates the conductor who has recently won the award. Question: Does this sentence explain why Grace congratulates the director? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
118,59,work,nonIC,nonIC_High,Grace works with the director,Grace works with the conductor who has recently won the award.,"Does this sentence explain why Grace works with the director? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Grace works with the conductor who has recently won the award. Question: Does this sentence explain why Grace works with the director? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
119,60,mock,IC,IC_High,Joseph mocked the trainer,Joseph mocked the trainer who was scared by the coyote.,"Does this sentence explain why Joseph mocked the trainer? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Joseph mocked the trainer who was scared by the coyote. Question: Does this sentence explain why Joseph mocked the trainer? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
120,60,carpool,nonIC,nonIC_High,Joseph carpooled with the trainer,Joseph carpooled with the trainer who was scared by the coyote.,"Does this sentence explain why Joseph carpooled with the trainer? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Joseph carpooled with the trainer who was scared by the coyote. Question: Does this sentence explain why Joseph carpooled with the trainer? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
