sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence
222,56,chat,nonIC,exp,Samuel chatted with the neighbor who was irritated by the noise,"Samuel chatted with the neighbor who was irritated by the noise, because"
223,56,pacify,IC,nonexp,Samuel pacified the neighbor who was irritated by the noise,"Samuel pacified the neighbor who was irritated by the noise, and"
224,56,chat,nonIC,nonexp,Samuel chatted with the neighbor who was irritated by the noise,"Samuel chatted with the neighbor who was irritated by the noise, and"
225,57,detest,IC,exp,Julie detests the manager who has been demanding and unfair,"Julie detests the manager who has been demanding and unfair, because"
226,57,visit,nonIC,exp,Julie visits the manager who has been demanding and unfair,"Julie visits the manager who has been demanding and unfair, because"
227,57,detest,IC,nonexp,Julie detests the manager who has been demanding and unfair,"Julie detests the manager who has been demanding and unfair, and"
228,57,visit,nonIC,nonexp,Julie visits the manager who has been demanding and unfair,"Julie visits the manager who has been demanding and unfair, and"
229,58,thank,IC,exp,Ethan thanked the host who was organizing the event,"Ethan thanked the host who was organizing the event, because"
230,58,ran,nonIC,exp,Ethan ran into the host who was organizing the event,"Ethan ran into the host who was organizing the event, because"
231,58,thank,IC,nonexp,Ethan thanked the host who was organizing the event,"Ethan thanked the host who was organizing the event, and"
232,58,ran,nonIC,nonexp,Ethan ran into the host who was organizing the event,"Ethan ran into the host who was organizing the event, and"
233,59,congratulate,IC,exp,Grace congratulates the conductor who has recently won the award,"Grace congratulates the conductor who has recently won the award, because"
234,59,work,nonIC,exp,Grace works with the conductor who has recently won the award,"Grace works with the conductor who has recently won the award, because"
235,59,congratulate,IC,nonexp,Grace congratulates the conductor who has recently won the award,"Grace congratulates the conductor who has recently won the award, and"
236,59,work,nonIC,nonexp,Grace works with the conductor who has recently won the award,"Grace works with the conductor who has recently won the award, and"
237,60,mock,IC,exp,Joseph mocked the trainer who was scared by the coyote,"Joseph mocked the trainer who was scared by the coyote, because"
238,60,carpool,nonIC,exp,Joseph carpooled with the trainer who was scared by the coyote,"Joseph carpooled with the trainer who was scared by the coyote, because"
239,60,mock,IC,nonexp,Joseph mocked the trainer who was scared by the coyote,"Joseph mocked the trainer who was scared by the coyote, and"
240,60,carpool,nonIC,nonexp,Joseph carpooled with the trainer who was scared by the coyote,"Joseph carpooled with the trainer who was scared by the coyote, and"
